Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1973,12.5,17.4,8.6,-,22.0,149,16,16,113,0,0
1974,12.3,17.7,7.6,-,19.7,145,24,15,101,0,1
1975,12.5,17.0,8.7,-,20.1,157,29,29,124,0,1
1976,11.1,16.3,6.9,-,20.3,131,25,22,102,0,1
1977,11.2,16.3,7.2,-,18.8,148,29,30,136,0,2
1978,11.8,16.4,8.0,-,18.8,128,25,14,102,0,1
1979,11.9,16.7,8.1,1156.41,19.9,149,22,19,161,0,0
1980,11.9,17.1,7.7,874.01,19.9,126,25,29,120,0,0
1981,12.3,17.5,8.3,915.18,21.5,139,28,22,136,0,0
1982,12.2,17.5,8.0,906.77,20.3,138,28,16,153,0,0
1983,13.1,18.2,9.7,1471.15,19.0,145,15,29,163,0,0
1984,12.9,17.9,9.5,1340.81,18.0,156,32,28,170,0,0
1985,12.5,17.9,8.7,768.31,17.9,142,31,26,142,0,1
1986,12.2,17.7,8.6,997.47,18.3,140,25,20,144,0,0
1987,12.2,17.4,8.7,869.46,18.5,139,27,24,133,0,0
1988,11.7,17.1,8.2,933.70,18.4,123,22,29,148,0,0
1989,11.7,16.9,8.2,1419.66,18.4,149,34,30,168,0,0
1990,13.0,18.2,9.0,1245.63,17.3,168,19,37,173,0,0
1991,13.4,19.2,8.5,1044.68,16.5,136,24,22,136,0,0
1992,11.7,17.0,7.0,1140.16,17.2,156,22,18,155,0,0
1993,12.3,17.7,7.6,1011.12,17.5,137,32,23,138,0,0
1994,12.1,17.8,7.4,1175.15,17.4,144,38,34,147,0,0
1995,12.6,17.9,8.0,969.69,15.5,133,22,19,126,0,1
1996,11.3,15.8,7.6,1336.81,16.3,156,32,27,93,0,0
1997,12.1,16.4,8.6,1026.65,19.2,139,32,25,21,0,1
1998,13.4,17.8,9.8,950.24,17.8,131,13,27,24,0,1
1999,12.9,17.7,8.6,-,18.5,124,20,18,25,0,0
2000,11.6,16.8,7.0,-,18.8,128,29,33,21,0,0
2001,12.7,17.9,8.0,-,18.3,127,27,25,28,0,0
2002,-,-,-,-,-,-,-,-,-,-,-
2003,11.5,16.6,7.3,1261.50,18.8,144,35,12,14,0,0
2004,12.0,17.1,7.6,1563.10,17.6,142,23,27,21,0,0
2005,-,-,-,-,-,-,-,-,-,-,-
2006,13.1,18.3,8.7,1139.44,19.1,136,12,34,24,0,0
2007,12.4,17.4,7.9,1187.66,18.6,140,33,24,26,0,0
2008,12.7,18.0,7.9,1209.04,18.2,153,23,34,20,0,0
2009,12.1,17.1,7.8,1170.18,17.7,149,27,31,24,0,1
2010,13.2,18.7,8.7,1055.81,19.0,98,28,15,13,0,0
2011,13.1,18.5,8.6,1531.26,17.4,122,20,14,25,0,0
2012,13.8,18.9,9.4,1072.08,17.4,132,15,20,20,0,1
2013,12.4,17.7,8.0,1021.27,18.1,150,38,22,22,0,0
2014,12.2,17.5,7.5,1304.24,18.2,145,36,19,23,0,0
2015,13.3,18.8,8.6,962.61,17.5,120,35,17,34,0,0
2016,13.6,18.9,9.1,860.72,18.4,131,24,19,19,0,0
2017,13.2,18.6,8.7,1105.31,18.5,143,25,20,22,0,0
2018,12.5,17.6,8.1,1520.94,18.7,163,24,25,37,0,0
2019,12.6,17.8,8.0,1414.22,18.4,162,26,27,15,0,0
2020,13.3,18.6,8.8,1060.14,18.4,162,11,32,21,0,1
2021,13.3,18.7,8.7,1156.94,18.0,149,28,25,16,0,1
2022,-,-,-,-,-,-,-,-,-,-,-
